"","Names","scores","Residue.type","kingdom","phylum","class","order","family","genus","species","primarylifestyle","taxon"
"111","k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Sordariales|f__Chaetomiaceae|g__Humicola|s__distorta|t__wood_saprotroph",2.349409965814,"Wheat-clover mix","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Sordariales","f__Chaetomiaceae","Humicola","distorta","wood_saprotroph","Humicola distorta"
"6","k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Sordariales|f__Chaetomiaceae|g__Humicola|s__olivacea|t__wood_saprotroph",-3.14789684216261,"No residue","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Sordariales","f__Chaetomiaceae","Humicola","olivacea","wood_saprotroph","Humicola olivacea"
"31","k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Sordariales|f__Chaetomiaceae|g__Humicola|s__olivacea|t__wood_saprotroph",-2.54247646345991,"Wheat","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Sordariales","f__Chaetomiaceae","Humicola","olivacea","wood_saprotroph","Humicola olivacea"
"190","k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Sordariales|f__Chaetomiaceae|g__Humicola|s__olivacea|t__wood_saprotroph",2.92460500608346,"Clover","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Sordariales","f__Chaetomiaceae","Humicola","olivacea","wood_saprotroph","Humicola olivacea"
"215","k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Sordariales|f__Chaetomiaceae|g__Humicola|s__olivacea|t__wood_saprotroph",2.74390473231243,"Five-speices mix","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Sordariales","f__Chaetomiaceae","Humicola","olivacea","wood_saprotroph","Humicola olivacea"
"1","k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Sordariales|f__Chaetomiaceae|g__Humicola|s__sardiniae|t__wood_saprotroph",-4.10441785357827,"No residue","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Sordariales","f__Chaetomiaceae","Humicola","sardiniae","wood_saprotroph","Humicola sardiniae"
"19","k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Sordariales|f__Chaetomiaceae|g__Humicola|s__sardiniae|t__wood_saprotroph",-3.44949057657728,"Wheat","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Sordariales","f__Chaetomiaceae","Humicola","sardiniae","wood_saprotroph","Humicola sardiniae"
"115","k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Sordariales|f__Chaetomiaceae|g__Humicola|s__sardiniae|t__wood_saprotroph",3.83479585495622,"Wheat-clover mix","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Sordariales","f__Chaetomiaceae","Humicola","sardiniae","wood_saprotroph","Humicola sardiniae"
"217","k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Sordariales|f__Chaetomiaceae|g__Humicola|s__sardiniae|t__wood_saprotroph",3.74669853723276,"Five-speices mix","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Sordariales","f__Chaetomiaceae","Humicola","sardiniae","wood_saprotroph","Humicola sardiniae"
"551","k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Sordariales|f__Sordariales_fam_Incertae_sedis|g__Papulaspora|s__byssina|t__wood_saprotroph",2.0312026925406,"No residue","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Sordariales","f__Sordariales_fam_Incertae_sedis","Papulaspora","byssina","wood_saprotroph","Papulaspora byssina"
"228","k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Sordariales|f__Sordariales_fam_Incertae_sedis|g__Papulaspora|s__byssina|t__wood_saprotroph",2.2806304713052,"Wheat","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Sordariales","f__Sordariales_fam_Incertae_sedis","Papulaspora","byssina","wood_saprotroph","Papulaspora byssina"
"81","k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Sordariales|f__Sordariales_fam_Incertae_sedis|g__Papulaspora|s__byssina|t__wood_saprotroph",-2.02048931497258,"Five-speices mix","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Sordariales","f__Sordariales_fam_Incertae_sedis","Papulaspora","byssina","wood_saprotroph","Papulaspora byssina"
