"","CAP1","CAP2","CAP3","CAP4","MDS1","MDS2"
"Wooliver_ITS_2B7_Beever240927_S310",-0.345593706893599,-0.28962728272744,-0.344447387104832,-0.0775087414603161,-0.291672506792532,-0.0865478543324024
"Wooliver_ITS_2B8_Beever240927_S318",-0.392266584758856,-0.530108594824291,0.123243903311363,-0.373793910925529,0.939261332025023,-0.00216536213919205
"Wooliver_ITS_2C4_Beever240927_S287",-0.392830938282234,-0.531258247791351,0.10824056590927,0.335395547379412,-0.614981764589217,0.534873131105503
"Wooliver_ITS_2C5_Beever240927_S295",-0.370284793008958,-0.471053968492642,-0.0855963829692385,-0.0188633390264987,-0.356388020136903,-0.134333798268852
"Wooliver_ITS_2C6_Beever240927_S303",-0.372869261043186,-0.406017040453171,-0.0331935490280995,-0.200947612518253,0.503153372540087,0.595259786620373
"Wooliver_ITS_2C7_Beever240927_S311",1.30311746271898,-0.18908026168447,-1.44151810591236,-1.13564246172848,0.0771878434796132,0.526813875568467
"Wooliver_ITS_2C8_Beever240927_S319",-0.185072703459239,1.21859728768762,-0.0310196566801876,-0.113124772932117,-0.306754415069962,-0.866588813595869
"Wooliver_ITS_2D4_Beever240927_S288",-0.391692950562351,-0.240856425906938,0.291695391024022,0.258132229365614,0.671358457998387,-0.134838204722184
"Wooliver_ITS_2D5_Beever240927_S296",1.26538348394267,-0.391712554023435,-4.04096011403456,1.31487496299717,-0.142511143757827,0.0948264048262361
"Wooliver_ITS_2D6_Beever240927_S304",-0.0934936129508108,1.71539852986342,-0.331960748665252,0.722865603854423,-0.594110988974852,-0.628983619630011
"Wooliver_ITS_2D7_Beever240927_S312",-0.415451618607363,-0.533457282821915,-0.0562117766319079,-0.185612111022729,0.415359238225415,0.577055379783685
"Wooliver_ITS_2D8_Beever240927_S320",-0.368914426547614,-0.464240137802881,-0.00799550807601703,0.144886732803757,0.112538189748841,0.19614107113739
"Wooliver_ITS_2E4_Beever240927_S289",-0.120499498041351,1.70859789050859,0.450702450565085,0.861962146264128,-0.502132945784055,-1.11759418401838
"Wooliver_ITS_2E5_Beever240927_S297",-0.422602295490862,-0.777094885725224,-0.149053948939963,-0.466538426213772,-0.050728696192971,0.16305077721246
