"","features","scores","Residue.type","kingdom","phylum","class","order","family","genus","species","taxon"
"193","k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Mycobacteriales|f__Nocardiaceae|g__Nocardia|",-2.54299908199392,"Five-speices mix","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Mycobacteriales","f__Nocardiaceae","g__Nocardia",NA,"g__Nocardia"
"581","k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Mycobacteriales|f__Nocardiaceae|g__Rhodococcus|",2.09032114146984,"No residue","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Mycobacteriales","f__Nocardiaceae","g__Rhodococcus",NA,"g__Rhodococcus"
"454","k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Mycobacteriales|f__Nocardiaceae|g__Rhodococcus|",2.07087447860111,"Clover","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Mycobacteriales","f__Nocardiaceae","g__Rhodococcus",NA,"g__Rhodococcus"
"391","k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Mycobacteriales|f__Nocardiaceae|g__Rhodococcus|",-2.19762470398709,"Five-speices mix","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Mycobacteriales","f__Nocardiaceae","g__Rhodococcus",NA,"g__Rhodococcus"
"978","k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Propionibacteriales|f__Actinopolymorphaceae|",2.03373183926607,"Five-speices mix","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Propionibacteriales","f__Actinopolymorphaceae",NA,NA,"f__Actinopolymorphaceae"
"293","k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Propionibacteriales|f__Kribbellaceae|g__Kribbella|",-2.2907262697249,"Five-speices mix","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Propionibacteriales","f__Kribbellaceae","g__Kribbella",NA,"g__Kribbella"
"48","k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Propionibacteriales|f__Nocardioidaceae|g__Marmoricola|",-2.35875229026685,"No residue","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Propionibacteriales","f__Nocardioidaceae","g__Marmoricola",NA,"g__Marmoricola"
"1074","k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Propionibacteriales|f__Nocardioidaceae|g__Marmoricola|",2.74126882709785,"Five-speices mix","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Propionibacteriales","f__Nocardioidaceae","g__Marmoricola",NA,"g__Marmoricola"
"110","k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Propionibacteriales|f__Nocardioidaceae|g__Nocardioides|",-2.63036430139862,"Wheat","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Propionibacteriales","f__Nocardioidaceae","g__Nocardioides",NA,"g__Nocardioides"
"1112","k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Propionibacteriales|f__Nocardioidaceae|g__Nocardioides|",3.11490296484331,"Five-speices mix","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Propionibacteriales","f__Nocardioidaceae","g__Nocardioides",NA,"g__Nocardioides"
"41","k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Propionibacteriales|f__Propionibacteriaceae|g__Microlunatus|",-2.43029430497585,"No residue","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Propionibacteriales","f__Propionibacteriaceae","g__Microlunatus",NA,"g__Microlunatus"
"1087","k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Propionibacteriales|f__Propionibacteriaceae|g__Microlunatus|",2.86749298275524,"Five-speices mix","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Propionibacteriales","f__Propionibacteriaceae","g__Microlunatus",NA,"g__Microlunatus"
"1003","k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Propionibacteriales|",2.14705292912955,"Five-speices mix","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Propionibacteriales",NA,NA,NA,"o__Propionibacteriales"
"993","k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Pseudonocardiales|f__Pseudonocardiaceae|g__Actinomycetospora|",2.10662608334515,"Five-speices mix","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Pseudonocardiales","f__Pseudonocardiaceae","g__Actinomycetospora",NA,"g__Actinomycetospora"
"1013","k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Pseudonocardiales|f__Pseudonocardiaceae|g__Amycolatopsis|",2.20806366984366,"Five-speices mix","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Pseudonocardiales","f__Pseudonocardiaceae","g__Amycolatopsis",NA,"g__Amycolatopsis"
"14","k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Pseudonocardiales|f__Pseudonocardiaceae|g__Pseudonocardia|",-2.68222968821652,"No residue","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Pseudonocardiales","f__Pseudonocardiaceae","g__Pseudonocardia",NA,"g__Pseudonocardia"
"1106","k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Pseudonocardiales|f__Pseudonocardiaceae|g__Pseudonocardia|",3.05284142557484,"Five-speices mix","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Pseudonocardiales","f__Pseudonocardiaceae","g__Pseudonocardia",NA,"g__Pseudonocardia"
"981","k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Pseudonocardiales|f__Pseudonocardiaceae|",2.0454865121557,"Five-speices mix","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Pseudonocardiales","f__Pseudonocardiaceae",NA,NA,"f__Pseudonocardiaceae"
"257","k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Streptomycetales|f__Streptomycetaceae|g__Kitasatospora|",2.73493730828501,"Wheat","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Streptomycetales","f__Streptomycetaceae","g__Kitasatospora",NA,"g__Kitasatospora"
"420","k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Streptomycetales|f__Streptomycetaceae|g__Kitasatospora|",2.54247534552686,"Wheat-clover mix","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Streptomycetales","f__Streptomycetaceae","g__Kitasatospora",NA,"g__Kitasatospora"
"93","k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Streptomycetales|f__Streptomycetaceae|g__Kitasatospora|",-3.04516989988236,"Five-speices mix","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Streptomycetales","f__Streptomycetaceae","g__Kitasatospora",NA,"g__Kitasatospora"
"476","k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Streptomycetales|f__Streptomycetaceae|g__Streptomyces|",2.74538592485798,"Clover","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Streptomycetales","f__Streptomycetaceae","g__Streptomyces",NA,"g__Streptomyces"
"381","k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Streptomycetales|f__Streptomycetaceae|g__Streptomyces|",-2.82595822625553,"Wheat-clover mix","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Streptomycetales","f__Streptomycetaceae","g__Streptomyces",NA,"g__Streptomyces"
"586","k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Streptomycetales|f__Streptomycetaceae|g__Yinghuangia|",2.31304294087201,"No residue","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Streptomycetales","f__Streptomycetaceae","g__Yinghuangia",NA,"g__Yinghuangia"
"479","k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Streptomycetales|f__Streptomycetaceae|g__Yinghuangia|",2.81060006317013,"Clover","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Streptomycetales","f__Streptomycetaceae","g__Yinghuangia",NA,"g__Yinghuangia"
"811","k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Streptomycetales|f__Streptomycetaceae|g__Yinghuangia|",-2.5846932501327,"Wheat-clover mix","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Streptomycetales","f__Streptomycetaceae","g__Yinghuangia",NA,"g__Yinghuangia"
"173","k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Streptomycetales|f__Streptomycetaceae|g__Yinghuangia|",-2.6086922676914,"Five-speices mix","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Streptomycetales","f__Streptomycetaceae","g__Yinghuangia",NA,"g__Yinghuangia"
"579","k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Streptosporangiales|f__Streptosporangiaceae|g__Microbispora|",2.05214953856771,"No residue","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Streptosporangiales","f__Streptosporangiaceae","g__Microbispora",NA,"g__Microbispora"
"587","k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Streptosporangiales|f__Streptosporangiaceae|g__Nonomuraea|",2.38580171791353,"No residue","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Streptosporangiales","f__Streptosporangiaceae","g__Nonomuraea",NA,"g__Nonomuraea"
"473","k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Streptosporangiales|f__Streptosporangiaceae|g__Nonomuraea|",2.63730213104925,"Clover","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Streptosporangiales","f__Streptosporangiaceae","g__Nonomuraea",NA,"g__Nonomuraea"
"911","k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Streptosporangiales|f__Streptosporangiaceae|g__Nonomuraea|",-2.51998141442061,"Wheat-clover mix","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Streptosporangiales","f__Streptosporangiaceae","g__Nonomuraea",NA,"g__Nonomuraea"
"273","k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Streptosporangiales|f__Streptosporangiaceae|g__Nonomuraea|",-2.36697202727579,"Five-speices mix","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Streptosporangiales","f__Streptosporangiaceae","g__Nonomuraea",NA,"g__Nonomuraea"
"594","k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Streptosporangiales|f__Streptosporangiaceae|g__Streptosporangium|",2.85057924620459,"No residue","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Streptosporangiales","f__Streptosporangiaceae","g__Streptosporangium",NA,"g__Streptosporangium"
"480","k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Streptosporangiales|f__Streptosporangiaceae|g__Streptosporangium|",2.90761707735132,"Clover","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Streptosporangiales","f__Streptosporangiaceae","g__Streptosporangium",NA,"g__Streptosporangium"
"2101","k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Streptosporangiales|f__Streptosporangiaceae|g__Streptosporangium|",-2.82768215127122,"Wheat-clover mix","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Streptosporangiales","f__Streptosporangiaceae","g__Streptosporangium",NA,"g__Streptosporangium"
"133","k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Streptosporangiales|f__Streptosporangiaceae|g__Streptosporangium|",-2.774162711093,"Five-speices mix","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Streptosporangiales","f__Streptosporangiaceae","g__Streptosporangium",NA,"g__Streptosporangium"
"56","k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Streptosporangiales|f__Thermomonosporaceae|g__Actinoallomurus|",-2.2615412217651,"No residue","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Streptosporangiales","f__Thermomonosporaceae","g__Actinoallomurus",NA,"g__Actinoallomurus"
"510","k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Streptosporangiales|f__Thermomonosporaceae|g__Actinoallomurus|",-2.2337295026641,"Wheat","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Streptosporangiales","f__Thermomonosporaceae","g__Actinoallomurus",NA,"g__Actinoallomurus"
"1058","k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Streptosporangiales|f__Thermomonosporaceae|g__Actinoallomurus|",2.55753843446307,"Five-speices mix","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Streptosporangiales","f__Thermomonosporaceae","g__Actinoallomurus",NA,"g__Actinoallomurus"
"1014","k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Streptosporangiales|f__Thermomonosporaceae|",2.21067944455703,"Five-speices mix","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Streptosporangiales","f__Thermomonosporaceae",NA,NA,"f__Thermomonosporaceae"
"1045","k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Streptosporangiales|",2.41337204438562,"Five-speices mix","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Streptosporangiales",NA,NA,NA,"o__Streptosporangiales"
"9","k__Bacteria|p__Actinobacteria|c__Actinobacteria|",-2.8268893512583,"No residue","k__Bacteria","p__Actinobacteria","c__Actinobacteria",NA,NA,NA,NA,"c__Actinobacteria"
"1121","k__Bacteria|p__Actinobacteria|c__Actinobacteria|",3.33638978298883,"Five-speices mix","k__Bacteria","p__Actinobacteria","c__Actinobacteria",NA,NA,NA,NA,"c__Actinobacteria"
"1","k__Bacteria|p__Actinobacteria|c__Thermoleophilia|o__Gaiellales|f__Gaiellaceae|g__Gaiella|",-3.57710566039007,"No residue","k__Bacteria","p__Actinobacteria","c__Thermoleophilia","o__Gaiellales","f__Gaiellaceae","g__Gaiella",NA,"g__Gaiella"
"1127","k__Bacteria|p__Actinobacteria|c__Thermoleophilia|o__Gaiellales|f__Gaiellaceae|g__Gaiella|",4.13089287686698,"Five-speices mix","k__Bacteria","p__Actinobacteria","c__Thermoleophilia","o__Gaiellales","f__Gaiellaceae","g__Gaiella",NA,"g__Gaiella"
"30","k__Bacteria|p__Actinobacteria|c__Thermoleophilia|o__Solirubrobacterales|f__Baekduiaceae|g__Baekduia|",-2.51165361535813,"No residue","k__Bacteria","p__Actinobacteria","c__Thermoleophilia","o__Solirubrobacterales","f__Baekduiaceae","g__Baekduia",NA,"g__Baekduia"
"11011","k__Bacteria|p__Actinobacteria|c__Thermoleophilia|o__Solirubrobacterales|f__Baekduiaceae|g__Baekduia|",3.01197365354976,"Five-speices mix","k__Bacteria","p__Actinobacteria","c__Thermoleophilia","o__Solirubrobacterales","f__Baekduiaceae","g__Baekduia",NA,"g__Baekduia"
"32","k__Bacteria|p__Actinobacteria|c__Thermoleophilia|o__Solirubrobacterales|f__Conexibacteraceae|g__Conexibacter|",-2.50220299356893,"No residue","k__Bacteria","p__Actinobacteria","c__Thermoleophilia","o__Solirubrobacterales","f__Conexibacteraceae","g__Conexibacter",NA,"g__Conexibacter"
"1098","k__Bacteria|p__Actinobacteria|c__Thermoleophilia|o__Solirubrobacterales|f__Conexibacteraceae|g__Conexibacter|",2.9556106654163,"Five-speices mix","k__Bacteria","p__Actinobacteria","c__Thermoleophilia","o__Solirubrobacterales","f__Conexibacteraceae","g__Conexibacter",NA,"g__Conexibacter"
"982","k__Bacteria|p__Actinobacteria|c__Thermoleophilia|o__Solirubrobacterales|f__Paraconexibacteraceae|g__Paraconexibacter|",2.05390162612787,"Five-speices mix","k__Bacteria","p__Actinobacteria","c__Thermoleophilia","o__Solirubrobacterales","f__Paraconexibacteraceae","g__Paraconexibacter",NA,"g__Paraconexibacter"
"26","k__Bacteria|p__Actinobacteria|c__Thermoleophilia|o__Solirubrobacterales|f__Parviterribacteraceae|g__Parviterribacter|",-2.51941775056703,"No residue","k__Bacteria","p__Actinobacteria","c__Thermoleophilia","o__Solirubrobacterales","f__Parviterribacteraceae","g__Parviterribacter",NA,"g__Parviterribacter"
"1104","k__Bacteria|p__Actinobacteria|c__Thermoleophilia|o__Solirubrobacterales|f__Parviterribacteraceae|g__Parviterribacter|",3.03058271492113,"Five-speices mix","k__Bacteria","p__Actinobacteria","c__Thermoleophilia","o__Solirubrobacterales","f__Parviterribacteraceae","g__Parviterribacter",NA,"g__Parviterribacter"
"6","k__Bacteria|p__Actinobacteria|c__Thermoleophilia|o__Solirubrobacterales|f__Solirubrobacteraceae|g__Solirubrobacter|",-2.85614805440846,"No residue","k__Bacteria","p__Actinobacteria","c__Thermoleophilia","o__Solirubrobacterales","f__Solirubrobacteraceae","g__Solirubrobacter",NA,"g__Solirubrobacter"
"1120","k__Bacteria|p__Actinobacteria|c__Thermoleophilia|o__Solirubrobacterales|f__Solirubrobacteraceae|g__Solirubrobacter|",3.30714011354427,"Five-speices mix","k__Bacteria","p__Actinobacteria","c__Thermoleophilia","o__Solirubrobacterales","f__Solirubrobacteraceae","g__Solirubrobacter",NA,"g__Solirubrobacter"
"8","k__Bacteria|p__Actinobacteria|c__Thermoleophilia|o__Solirubrobacterales|",-2.82767209980623,"No residue","k__Bacteria","p__Actinobacteria","c__Thermoleophilia","o__Solirubrobacterales",NA,NA,NA,"o__Solirubrobacterales"
"1122","k__Bacteria|p__Actinobacteria|c__Thermoleophilia|o__Solirubrobacterales|",3.34755914278829,"Five-speices mix","k__Bacteria","p__Actinobacteria","c__Thermoleophilia","o__Solirubrobacterales",NA,NA,NA,"o__Solirubrobacterales"
"1025","k__Bacteria|p__Actinobacteria|c__Thermoleophilia|o__Thermoleophilales|f__Thermoleophilaceae|g__Thermoleophilum|",2.26769464196399,"Five-speices mix","k__Bacteria","p__Actinobacteria","c__Thermoleophilia","o__Thermoleophilales","f__Thermoleophilaceae","g__Thermoleophilum",NA,"g__Thermoleophilum"
"69","k__Bacteria|p__Actinobacteria|c__Thermoleophilia|",-2.14103292802128,"No residue","k__Bacteria","p__Actinobacteria","c__Thermoleophilia",NA,NA,NA,NA,"c__Thermoleophilia"
"1070","k__Bacteria|p__Actinobacteria|c__Thermoleophilia|",2.69106971456549,"Five-speices mix","k__Bacteria","p__Actinobacteria","c__Thermoleophilia",NA,NA,NA,NA,"c__Thermoleophilia"
"19","k__Bacteria|p__Actinobacteria|",-2.6197697460514,"No residue","k__Bacteria","p__Actinobacteria",NA,NA,NA,NA,NA,"p__Actinobacteria"
"1113","k__Bacteria|p__Actinobacteria|",3.13504722281255,"Five-speices mix","k__Bacteria","p__Actinobacteria",NA,NA,NA,NA,NA,"p__Actinobacteria"
"61","k__Bacteria|p__Armatimonadetes|c__Armatimonadetes_gp4|",-2.18595344059191,"No residue","k__Bacteria","p__Armatimonadetes","c__Armatimonadetes_gp4",NA,NA,NA,NA,"c__Armatimonadetes_gp4"
"262","k__Bacteria|p__Armatimonadetes|c__Armatimonadetes_gp4|",-2.15467085639019,"Clover","k__Bacteria","p__Armatimonadetes","c__Armatimonadetes_gp4",NA,NA,NA,NA,"c__Armatimonadetes_gp4"
"1072","k__Bacteria|p__Armatimonadetes|c__Armatimonadetes_gp4|",2.72136059772786,"Five-speices mix","k__Bacteria","p__Armatimonadetes","c__Armatimonadetes_gp4",NA,NA,NA,NA,"c__Armatimonadetes_gp4"
"977","k__Bacteria|p__Armatimonadetes|c__Chthonomonadetes|o__Chthonomonadales|f__Chthonomonadaceae|g__Chthonomonas|Armatimonadetes_gp3|",2.03341080552105,"Five-speices mix","k__Bacteria","p__Armatimonadetes","c__Chthonomonadetes","o__Chthonomonadales","f__Chthonomonadaceae","g__Chthonomonas",NA,"g__Chthonomonas"
"583","k__Bacteria|p__Bacteroidetes|c__Chitinophagia|o__Chitinophagales|f__Chitinophagaceae|g__Chitinophaga|",2.17543562109648,"No residue","k__Bacteria","p__Bacteroidetes","c__Chitinophagia","o__Chitinophagales","f__Chitinophagaceae","g__Chitinophaga",NA,"g__Chitinophaga"
"466","k__Bacteria|p__Bacteroidetes|c__Chitinophagia|o__Chitinophagales|f__Chitinophagaceae|g__Chitinophaga|",2.32705546887167,"Clover","k__Bacteria","p__Bacteroidetes","c__Chitinophagia","o__Chitinophagales","f__Chitinophagaceae","g__Chitinophaga",NA,"g__Chitinophaga"
"163","k__Bacteria|p__Bacteroidetes|c__Chitinophagia|o__Chitinophagales|f__Chitinophagaceae|g__Chitinophaga|",-2.63507650020013,"Five-speices mix","k__Bacteria","p__Bacteroidetes","c__Chitinophagia","o__Chitinophagales","f__Chitinophagaceae","g__Chitinophaga",NA,"g__Chitinophaga"
"1012","k__Bacteria|p__Bacteroidetes|c__Chitinophagia|o__Chitinophagales|f__Chitinophagaceae|g__Ferruginibacter|",2.20778489208782,"Five-speices mix","k__Bacteria","p__Bacteroidetes","c__Chitinophagia","o__Chitinophagales","f__Chitinophagaceae","g__Ferruginibacter",NA,"g__Ferruginibacter"
"451","k__Bacteria|p__Bacteroidetes|c__Chitinophagia|o__Chitinophagales|f__Chitinophagaceae|g__Flavisolibacter|",2.05749996148178,"Clover","k__Bacteria","p__Bacteroidetes","c__Chitinophagia","o__Chitinophagales","f__Chitinophagaceae","g__Flavisolibacter",NA,"g__Flavisolibacter"
"243","k__Bacteria|p__Bacteroidetes|c__Chitinophagia|o__Chitinophagales|f__Chitinophagaceae|g__Niastella|",-2.40898788926639,"Five-speices mix","k__Bacteria","p__Bacteroidetes","c__Chitinophagia","o__Chitinophagales","f__Chitinophagaceae","g__Niastella",NA,"g__Niastella"
"72","k__Bacteria|p__Bacteroidetes|c__Chitinophagia|o__Chitinophagales|f__Chitinophagaceae|g__Terrimonas|",-2.10734167303962,"No residue","k__Bacteria","p__Bacteroidetes","c__Chitinophagia","o__Chitinophagales","f__Chitinophagaceae","g__Terrimonas",NA,"g__Terrimonas"
"313","k__Bacteria|p__Bacteroidetes|c__Chitinophagia|o__Chitinophagales|f__Chitinophagaceae|g__Terrimonas|",-2.07159387491477,"Clover","k__Bacteria","p__Bacteroidetes","c__Chitinophagia","o__Chitinophagales","f__Chitinophagaceae","g__Terrimonas",NA,"g__Terrimonas"
"1043","k__Bacteria|p__Bacteroidetes|c__Chitinophagia|o__Chitinophagales|f__Chitinophagaceae|g__Terrimonas|",2.38788646203381,"Five-speices mix","k__Bacteria","p__Bacteroidetes","c__Chitinophagia","o__Chitinophagales","f__Chitinophagaceae","g__Terrimonas",NA,"g__Terrimonas"
"1040","k__Bacteria|p__Bacteroidetes|c__Chitinophagia|o__Chitinophagales|f__Chitinophagaceae|",2.38656113395969,"Five-speices mix","k__Bacteria","p__Bacteroidetes","c__Chitinophagia","o__Chitinophagales","f__Chitinophagaceae",NA,NA,"f__Chitinophagaceae"
"47","k__Bacteria|p__Bacteroidetes|c__Cytophagia|o__Cytophagales|f__Fulvivirgaceae|g__Chryseolinea|",-2.37875207084537,"No residue","k__Bacteria","p__Bacteroidetes","c__Cytophagia","o__Cytophagales","f__Fulvivirgaceae","g__Chryseolinea",NA,"g__Chryseolinea"
"202","k__Bacteria|p__Bacteroidetes|c__Cytophagia|o__Cytophagales|f__Fulvivirgaceae|g__Chryseolinea|",-2.30528394546631,"Clover","k__Bacteria","p__Bacteroidetes","c__Cytophagia","o__Cytophagales","f__Fulvivirgaceae","g__Chryseolinea",NA,"g__Chryseolinea"
"421","k__Bacteria|p__Bacteroidetes|c__Cytophagia|o__Cytophagales|f__Fulvivirgaceae|g__Chryseolinea|",2.55402552837612,"Wheat-clover mix","k__Bacteria","p__Bacteroidetes","c__Cytophagia","o__Cytophagales","f__Fulvivirgaceae","g__Chryseolinea",NA,"g__Chryseolinea"
"67","k__Bacteria|p__Bacteroidetes|c__Cytophagia|o__Cytophagales|f__Fulvivirgaceae|g__Ohtaekwangia|",-2.15963223600198,"No residue","k__Bacteria","p__Bacteroidetes","c__Cytophagia","o__Cytophagales","f__Fulvivirgaceae","g__Ohtaekwangia",NA,"g__Ohtaekwangia"
"246","k__Bacteria|p__Bacteroidetes|c__Cytophagia|o__Cytophagales|f__Fulvivirgaceae|g__Ohtaekwangia|",2.01352984436533,"Wheat","k__Bacteria","p__Bacteroidetes","c__Cytophagia","o__Cytophagales","f__Fulvivirgaceae","g__Ohtaekwangia",NA,"g__Ohtaekwangia"
"418","k__Bacteria|p__Bacteroidetes|c__Cytophagia|o__Cytophagales|f__Fulvivirgaceae|g__Ohtaekwangia|",2.4846890885381,"Wheat-clover mix","k__Bacteria","p__Bacteroidetes","c__Cytophagia","o__Cytophagales","f__Fulvivirgaceae","g__Ohtaekwangia",NA,"g__Ohtaekwangia"
"315","k__Bacteria|p__Bacteroidetes|c__Cytophagia|o__Cytophagales|f__Fulvivirgaceae|g__Ohtaekwangia|",-2.25790392398788,"Five-speices mix","k__Bacteria","p__Bacteroidetes","c__Cytophagia","o__Cytophagales","f__Fulvivirgaceae","g__Ohtaekwangia",NA,"g__Ohtaekwangia"
"221","k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Flavobacterium|",-2.17257090918784,"Wheat-clover mix","k__Bacteria","p__Bacteroidetes","c__Flavobacteriia","o__Flavobacteriales","f__Flavobacteriaceae","g__Flavobacterium",NA,"g__Flavobacterium"
"1018","k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Flavobacterium|",2.23741581074311,"Five-speices mix","k__Bacteria","p__Bacteroidetes","c__Flavobacteriia","o__Flavobacteriales","f__Flavobacteriaceae","g__Flavobacterium",NA,"g__Flavobacterium"
"578","k__Bacteria|p__Bacteroidetes|c__Sphingobacteriia|o__Sphingobacteriales|f__Sphingobacteriaceae|g__Solitalea|",2.02840159497295,"No residue","k__Bacteria","p__Bacteroidetes","c__Sphingobacteriia","o__Sphingobacteriales","f__Sphingobacteriaceae","g__Solitalea",NA,"g__Solitalea"
"475","k__Bacteria|p__Bacteroidetes|c__Sphingobacteriia|o__Sphingobacteriales|f__Sphingobacteriaceae|g__Solitalea|",2.69439963609423,"Clover","k__Bacteria","p__Bacteroidetes","c__Sphingobacteriia","o__Sphingobacteriales","f__Sphingobacteriaceae","g__Solitalea",NA,"g__Solitalea"
"181","k__Bacteria|p__Bacteroidetes|c__Sphingobacteriia|o__Sphingobacteriales|f__Sphingobacteriaceae|g__Solitalea|",-2.35848497126611,"Wheat-clover mix","k__Bacteria","p__Bacteroidetes","c__Sphingobacteriia","o__Sphingobacteriales","f__Sphingobacteriaceae","g__Solitalea",NA,"g__Solitalea"
"2512","k__Bacteria|p__Bacteroidetes|c__Sphingobacteriia|o__Sphingobacteriales|f__Sphingobacteriaceae|g__Solitalea|",-2.39652537646605,"Five-speices mix","k__Bacteria","p__Bacteroidetes","c__Sphingobacteriia","o__Sphingobacteriales","f__Sphingobacteriaceae","g__Solitalea",NA,"g__Solitalea"
"80","k__Bacteria|p__candidate_division_WPS-1|",-2.04730447639046,"No residue","k__Bacteria","p__candidate_division_WPS-1",NA,NA,NA,NA,NA,"p__candidate_division_WPS-1"
"371","k__Bacteria|p__candidate_division_WPS-1|",-2.02305908681226,"Clover","k__Bacteria","p__candidate_division_WPS-1",NA,NA,NA,NA,NA,"p__candidate_division_WPS-1"
"402","k__Bacteria|p__candidate_division_WPS-1|",2.0647514198191,"Wheat-clover mix","k__Bacteria","p__candidate_division_WPS-1",NA,NA,NA,NA,NA,"p__candidate_division_WPS-1"
"998","k__Bacteria|p__candidate_division_WPS-1|",2.12624778740621,"Five-speices mix","k__Bacteria","p__candidate_division_WPS-1",NA,NA,NA,NA,NA,"p__candidate_division_WPS-1"
"584","k__Bacteria|p__Chlamydiae|c__Chlamydiia|o__Chlamydiales|f__Parachlamydiaceae|g__Parachlamydia|",2.19162241277484,"No residue","k__Bacteria","p__Chlamydiae","c__Chlamydiia","o__Chlamydiales","f__Parachlamydiaceae","g__Parachlamydia",NA,"g__Parachlamydia"
"410","k__Bacteria|p__Chlamydiae|c__Chlamydiia|o__Chlamydiales|f__Parachlamydiaceae|g__Parachlamydia|",-2.24268787134669,"Wheat","k__Bacteria","p__Chlamydiae","c__Chlamydiia","o__Chlamydiales","f__Parachlamydiaceae","g__Parachlamydia",NA,"g__Parachlamydia"
