"","file.names","X","submitted.by","library","well","utia","id","sample.id","plate","row","column","Sample.number","richness","shannon.div","simpson.div","invsimpson.div","evenness"
"76","Wooliver_16S_1G12_Beever240927_S95",76,"Wooliver","16S","1G12","Beever240927",NA,"S95",1,"G",12,"57",13606,7.78604833143692,0.995698104952265,232.45569427046,0.818011201619595
"77","Wooliver_16S_1G2_Beever240927_S15",77,"Wooliver","16S","1G2","Beever240927",NA,"S15",1,"G",2,"59",22151,8.02445888398007,0.996210710137852,263.901690390398,0.801993730653894
"78","Wooliver_16S_1G3_Beever240927_S23",78,"Wooliver","16S","1G3","Beever240927",NA,"S23",1,"G",3,"91",11220,7.3316211280784,0.994083697557994,169.02448950208,0.786194621032273
"79","Wooliver_16S_1G4_Beever240927_S31",79,"Wooliver","16S","1G4","Beever240927",NA,"S31",1,"G",4,"123",19955,8.00172650302027,0.996201248966755,263.244416717105,0.808154385679306
"80","Wooliver_16S_1G5_Beever240927_S39",80,"Wooliver","16S","1G5","Beever240927",NA,"S39",1,"G",5,"155",14402,7.65924635374181,0.995565905436068,225.525185713042,0.799911067652945
"81","Wooliver_16S_1G6_Beever240927_S47",81,"Wooliver","16S","1G6","Beever240927",NA,"S47",1,"G",6,"28",34579,9.72987918264441,0.999853221758855,6812.99893090406,0.930999662162601
"82","Wooliver_16S_1G7_Beever240927_S55",82,"Wooliver","16S","1G7","Beever240927",NA,"S55",1,"G",7,"60",18531,7.49420865799265,0.994596702400162,185.072167786954,0.76259854700597
"83","Wooliver_16S_1G8_Beever240927_S63",83,"Wooliver","16S","1G8","Beever240927",NA,"S63",1,"G",8,"92",10997,6.9630154717044,0.993049419922937,143.872883833102,0.748278643904105
"84","Wooliver_16S_1G9_Beever240927_S71",84,"Wooliver","16S","1G9","Beever240927",NA,"S71",1,"G",9,"124",9770,7.21678487928438,0.994209615328457,172.700097959726,0.785537011092042
"85","Wooliver_16S_1H1_Beever240927_S8",85,"Wooliver","16S","1H1","Beever240927",NA,"S8",1,"H",1,"31",17624,7.79877515174698,0.995534723708424,223.950307820022,0.797664076957291
"86","Wooliver_16S_1H10_Beever240927_S80",86,"Wooliver","16S","1H10","Beever240927",NA,"S80",1,"H",10,"160",11752,7.09412912487174,0.992921824205978,141.279339352458,0.756967203179591
"87","Wooliver_16S_1H11_Beever240927_S88",87,"Wooliver","16S","1H11","Beever240927",NA,"S88",1,"H",11,"29",14956,7.71024316943278,0.995866025461447,241.897958169364,0.802075228838606
"88","Wooliver_16S_1H12_Beever240927_S96",88,"Wooliver","16S","1H12","Beever240927",NA,"S96",1,"H",12,"61",9023,7.6288548743341,0.996297036787566,270.053992608468,0.837642376333903
"89","Wooliver_16S_1H2_Beever240927_S16",89,"Wooliver","16S","1H2","Beever240927",NA,"S16",1,"H",2,"63",19447,8.03336105799275,0.99640296192939,278.006509903383,0.81346800472268
"90","Wooliver_16S_1H3_Beever240927_S24",90,"Wooliver","16S","1H3","Beever240927",NA,"S24",1,"H",3,"95",18607,7.91709356299561,0.995920099185595,245.103997741643,0.805295239995523
"91","Wooliver_16S_1H4_Beever240927_S32",91,"Wooliver","16S","1H4","Beever240927",NA,"S32",1,"H",4,"127",40324,9.96880882866049,0.999896495773323,9661.44120008136,0.940036667766173
"92","Wooliver_16S_1H5_Beever240927_S40",92,"Wooliver","16S","1H5","Beever240927",NA,"S40",1,"H",5,"159",16947,7.79666953539266,0.995794442206128,237.780586788555,0.800656474802373
"93","Wooliver_16S_1H6_Beever240927_S48",93,"Wooliver","16S","1H6","Beever240927",NA,"S48",1,"H",6,"32",13012,7.0343755010876,0.99265822956921,136.206928482297,0.74252187547001
"94","Wooliver_16S_1H7_Beever240927_S56",94,"Wooliver","16S","1H7","Beever240927",NA,"S56",1,"H",7,"64",18926,7.78148966135693,0.995745780802431,235.060760520167,0.790135967423016
"95","Wooliver_16S_1H8_Beever240927_S64",95,"Wooliver","16S","1H8","Beever240927",NA,"S64",1,"H",8,"96",11876,7.07704896884628,0.992720413732793,137.3704443211,0.754299899825919
"96","Wooliver_16S_1H9_Beever240927_S72",96,"Wooliver","16S","1H9","Beever240927",NA,"S72",1,"H",9,"128",31521,9.68431597499957,0.999861402153691,7215.11933000241,0.93492308743279
"97","Wooliver_16S_2A1_Beever240927_S97",97,"Wooliver","16S","2A1","Beever240927",NA,"S97",2,"A",1,"65",29922,9.72199887372323,0.999879867715617,8324.15703355433,0.943301902014789
"98","Wooliver_16S_2A2_Beever240927_S105",98,"Wooliver","16S","2A2","Beever240927",NA,"S105",2,"A",2,"97",12460,7.62227485831785,0.995284202837983,212.05322571003,0.808276725021967
"99","Wooliver_16S_2A3_Beever240927_S113",99,"Wooliver","16S","2A3","Beever240927",NA,"S113",2,"A",3,"129",16527,7.65408726615382,0.995355836945172,215.324050468108,0.788045273011638
"100","Wooliver_16S_2A4_Beever240927_S121",100,"Wooliver","16S","2A4","Beever240927",NA,"S121",2,"A",4,"2",28495,7.85447789161178,0.995452515789695,219.901808066502,0.765731436557941
"101","Wooliver_16S_2A5_Beever240927_S129",101,"Wooliver","16S","2A5","Beever240927",NA,"S129",2,"A",5,"34",8645,6.99339995657495,0.993213065307016,147.341921682814,0.771495126766993
"102","Wooliver_16S_2A6_Beever240927_S137",102,"Wooliver","16S","2A6","Beever240927",NA,"S137",2,"A",6,"66",35267,9.78416889494642,0.999868703649521,7616.3579288762,0.934432858131111
"103","Wooliver_16S_2A7_Beever240927_S145",103,"Wooliver","16S","2A7","Beever240927",NA,"S145",2,"A",7,"98",7827,6.91986765060159,0.992950797727746,141.860023500249,0.771847117766274
"104","Wooliver_16S_2A8_Beever240927_S153",104,"Wooliver","16S","2A8","Beever240927",NA,"S153",2,"A",8,"130",7020,6.76423427006763,0.992676572478251,136.548084490517,0.763757708217257
"105","Wooliver_16S_2A9_Beever240927_S161",105,"Wooliver","16S","2A9","Beever240927",NA,"S161",2,"A",9,"baseline1",27733,9.57988176476354,0.999766561442605,4283.78247003439,0.936415200513472
"106","Wooliver_16S_2B1_Beever240927_S98",106,"Wooliver","16S","2B1","Beever240927",NA,"S98",2,"B",1,"69",20140,7.96642373651057,0.996478398295278,283.96169807029,0.803839699805558
"107","Wooliver_16S_2B2_Beever240927_S106",107,"Wooliver","16S","2B2","Beever240927",NA,"S106",2,"B",2,"101",24626,8.31091735406467,0.997060914800418,340.241922943314,0.821922525979915
"108","Wooliver_16S_2B3_Beever240927_S114",108,"Wooliver","16S","2B3","Beever240927",NA,"S114",2,"B",3,"133",17092,7.88895217998861,0.996130721385091,258.446108312526,0.809425004611255
"109","Wooliver_16S_2B4_Beever240927_S122",109,"Wooliver","16S","2B4","Beever240927",NA,"S122",2,"B",4,"6",35993,9.81161964581356,0.9998785329232,8232.68350849029,0.935234492139976
"110","Wooliver_16S_2B5_Beever240927_S130",110,"Wooliver","16S","2B5","Beever240927",NA,"S130",2,"B",5,"38",15662,7.35303314876472,0.994157328619686,171.154585789186,0.761262938687139
"111","Wooliver_16S_2B6_Beever240927_S138",111,"Wooliver","16S","2B6","Beever240927",NA,"S138",2,"B",6,"70",15266,7.27628730546114,0.994111737133773,169.829374591217,0.755320015201158
"112","Wooliver_16S_2B7_Beever240927_S146",112,"Wooliver","16S","2B7","Beever240927",NA,"S146",2,"B",7,"102",18029,7.64052705201849,0.994968855149944,198.761917973561,0.779666553068319
"113","Wooliver_16S_2B8_Beever240927_S154",113,"Wooliver","16S","2B8","Beever240927",NA,"S154",2,"B",8,"134",19088,7.30256871320883,0.993275089271216,148.700858692408,0.740864935202101
"114","Wooliver_16S_2B9_Beever240927_S162",114,"Wooliver","16S","2B9","Beever240927",NA,"S162",2,"B",9,"baseline2",29182,9.70445151002536,0.999880234095795,8349.62176119625,0.943892753167483
"115","Wooliver_16S_2C1_Beever240927_S99",115,"Wooliver","16S","2C1","Beever240927",NA,"S99",2,"C",1,"73",35044,8.2644327814147,0.996333080185679,272.708444862763,0.789769562902366
"116","Wooliver_16S_2C2_Beever240927_S107",116,"Wooliver","16S","2C2","Beever240927",NA,"S107",2,"C",2,"105",36083,9.87405394375363,0.999892216993668,9277.90042260854,0.940961678893382
"117","Wooliver_16S_2C3_Beever240927_S115",117,"Wooliver","16S","2C3","Beever240927",NA,"S115",2,"C",3,"137",19283,8.15467110036508,0.997103092554724,345.195702275726,0.826460760686327
"118","Wooliver_16S_2C4_Beever240927_S123",118,"Wooliver","16S","2C4","Beever240927",NA,"S123",2,"C",4,"10",17895,7.34039443666785,0.994056017716396,168.237378963659,0.749610608351973
"119","Wooliver_16S_2C5_Beever240927_S131",119,"Wooliver","16S","2C5","Beever240927",NA,"S131",2,"C",5,"42",20581,7.66837638489107,0.99511123365798,204.550581893177,0.772078227621654
"120","Wooliver_16S_2C6_Beever240927_S139",120,"Wooliver","16S","2C6","Beever240927",NA,"S139",2,"C",6,"74",13346,7.19667129888624,0.993568871748625,155.493711354015,0.757626330916485
"121","Wooliver_16S_2C7_Beever240927_S147",121,"Wooliver","16S","2C7","Beever240927",NA,"S147",2,"C",7,"106",35749,9.82852870589188,0.999881481048929,8437.469206087,0.937454072054448
"122","Wooliver_16S_2C8_Beever240927_S155",122,"Wooliver","16S","2C8","Beever240927",NA,"S155",2,"C",8,"138",16753,7.44614314292128,0.994428295170803,179.478280105544,0.765565339936165
"123","Wooliver_16S_2C9_Beever240927_S163",123,"Wooliver","16S","2C9","Beever240927",NA,"S163",2,"C",9,"baseline3",24151,9.52317725541254,0.999855893560542,6939.31516012742,0.943628691946412
"124","Wooliver_16S_2D1_Beever240927_S100",124,"Wooliver","16S","2D1","Beever240927",NA,"S100",2,"D",1,"77",17524,7.95579854141275,0.996478059391941,283.934373484796,0.814198401839412
"125","Wooliver_16S_2D2_Beever240927_S108",125,"Wooliver","16S","2D2","Beever240927",NA,"S108",2,"D",2,"109",18828,7.84649010098393,0.99599104255679,249.441410682428,0.797156361320288
"126","Wooliver_16S_2D3_Beever240927_S116",126,"Wooliver","16S","2D3","Beever240927",NA,"S116",2,"D",3,"141",20052,8.17148068320274,0.99698455611965,331.626135215542,0.824895138790984
"127","Wooliver_16S_2D4_Beever240927_S124",127,"Wooliver","16S","2D4","Beever240927",NA,"S124",2,"D",4,"14",17021,7.26985068599241,0.993455174855993,152.792470080846,0.746222447886913
"128","Wooliver_16S_2D5_Beever240927_S132",128,"Wooliver","16S","2D5","Beever240927",NA,"S132",2,"D",5,"46",22027,9.29905551500072,0.999780688990439,4559.73460704899,0.929903296244277
"129","Wooliver_16S_2D6_Beever240927_S140",129,"Wooliver","16S","2D6","Beever240927",NA,"S140",2,"D",6,"78",13628,7.31298989829941,0.994087860317126,169.143500262138,0.768180747223095
"130","Wooliver_16S_2D7_Beever240927_S148",130,"Wooliver","16S","2D7","Beever240927",NA,"S148",2,"D",7,"110",14498,7.10750060574494,0.993157074398572,146.13632505244,0.741773553512939
