,file.names,submitted.by,library,well,utia,id,sample.id,plate,row,column,Sample.number,Sample.name,Moisture.treatment,Residue.type,Lab.rep,Glucose.addition.treatment,Harvest.day
138,Wooliver_16S_2E6_Beever240927_S141,Wooliver,16S,2.00E+06,Beever240927,NA,S141,2,E,6,82,16S_Ambient_Clover_R3_G-50,Ambient,Clover,R3,G-50,T90
146,Wooliver_16S_2F6_Beever240927_S142,Wooliver,16S,2F6,Beever240927,NA,S142,2,F,6,86,16S_Ambient_Five-species mix_R3_G-50,Ambient,Five-species mix,R3,G-50,T90
154,Wooliver_16S_2G6_Beever240927_S143,Wooliver,16S,2G6,Beever240927,NA,S143,2,G,6,90,16S_Ambient_No residue_R3_G-50,Ambient,No residue,R3,G-50,T90
162,Wooliver_16S_2H6_Beever240927_S144,Wooliver,16S,2H6,Beever240927,NA,S144,2,H,6,94,16S_Ambient_Wheat_R3_G-50,Ambient,Wheat,R3,G-50,T90
103,Wooliver_16S_2A7_Beever240927_S145,Wooliver,16S,2A7,Beever240927,NA,S145,2,A,7,98,16S_Ambient_Wheat-clover mix_R3_G-50,Ambient,Wheat-clover mix,R3,G-50,T90
112,Wooliver_16S_2B7_Beever240927_S146,Wooliver,16S,2B7,Beever240927,NA,S146,2,B,7,102,16S_Drought_Clover_R3_G-50,Drought,Clover,R3,G-50,T90
121,Wooliver_16S_2C7_Beever240927_S147,Wooliver,16S,2C7,Beever240927,NA,S147,2,C,7,106,16S_Drought_Five-species mix_R3_G-50,Drought,Five-species mix,R3,G-50,T90
130,Wooliver_16S_2D7_Beever240927_S148,Wooliver,16S,2D7,Beever240927,NA,S148,2,D,7,110,16S_Drought_No residue_R3_G-50,Drought,No residue,R3,G-50,T90
139,Wooliver_16S_2E7_Beever240927_S149,Wooliver,16S,2.00E+07,Beever240927,NA,S149,2,E,7,114,16S_Drought_Wheat_R3_G-50,Drought,Wheat,R3,G-50,T90
147,Wooliver_16S_2F7_Beever240927_S150,Wooliver,16S,2F7,Beever240927,NA,S150,2,F,7,118,16S_Drought_Wheat-clover mix_R3_G-50,Drought,Wheat-clover mix,R3,G-50,T90
155,Wooliver_16S_2G7_Beever240927_S151,Wooliver,16S,2G7,Beever240927,NA,S151,2,G,7,122,16S_Ambient_Clover_R4_G-50,Ambient,Clover,R4,G-50,T90
163,Wooliver_16S_2H7_Beever240927_S152,Wooliver,16S,2H7,Beever240927,NA,S152,2,H,7,126,16S_Ambient_Five-species mix_R4_G-50,Ambient,Five-species mix,R4,G-50,T90
104,Wooliver_16S_2A8_Beever240927_S153,Wooliver,16S,2A8,Beever240927,NA,S153,2,A,8,130,16S_Ambient_No residue_R4_G-50,Ambient,No residue,R4,G-50,T90
113,Wooliver_16S_2B8_Beever240927_S154,Wooliver,16S,2B8,Beever240927,NA,S154,2,B,8,134,16S_Ambient_Wheat_R4_G-50,Ambient,Wheat,R4,G-50,T90
122,Wooliver_16S_2C8_Beever240927_S155,Wooliver,16S,2C8,Beever240927,NA,S155,2,C,8,138,16S_Ambient_Wheat-clover mix_R4_G-50,Ambient,Wheat-clover mix,R4,G-50,T90
131,Wooliver_16S_2D8_Beever240927_S156,Wooliver,16S,2D8,Beever240927,NA,S156,2,D,8,142,16S_Drought_Clover_R4_G-50,Drought,Clover,R4,G-50,T90
140,Wooliver_16S_2E8_Beever240927_S157,Wooliver,16S,2.00E+08,Beever240927,NA,S157,2,E,8,146,16S_Drought_Five-species mix_R4_G-50,Drought,Five-species mix,R4,G-50,T90
148,Wooliver_16S_2F8_Beever240927_S158,Wooliver,16S,2F8,Beever240927,NA,S158,2,F,8,150,16S_Drought_No residue_R4_G-50,Drought,No residue,R4,G-50,T90
156,Wooliver_16S_2G8_Beever240927_S159,Wooliver,16S,2G8,Beever240927,NA,S159,2,G,8,154,16S_Drought_Wheat_R4_G-50,Drought,Wheat,R4,G-50,T90
164,Wooliver_16S_2H8_Beever240927_S160,Wooliver,16S,2H8,Beever240927,NA,S160,2,H,8,158,16S_Drought_Wheat-clover mix_R4_G-50,Drought,Wheat-clover mix,R4,G-50,T90
105,Wooliver_16S_2A9_Beever240927_S161,Wooliver,16S,2A9,Beever240927,NA,S161,2,A,9,baseline1,16S_baseline1,NA,NA,NA,NA,NA
114,Wooliver_16S_2B9_Beever240927_S162,Wooliver,16S,2B9,Beever240927,NA,S162,2,B,9,baseline2,16S_baseline2,NA,NA,NA,NA,NA
123,Wooliver_16S_2C9_Beever240927_S163,Wooliver,16S,2C9,Beever240927,NA,S163,2,C,9,baseline3,16S_baseline3,NA,NA,NA,NA,NA
132,Wooliver_16S_2D9_Beever240927_S164,Wooliver,16S,2D9,Beever240927,NA,S164,2,D,9,baseline4,16S_baseline4,NA,NA,NA,NA,NA
165,Wooliver_ITS_1A1_Beever240927_S165,Wooliver,ITS,1A1,Beever240927,NA,S165,1,A,1,3,ITS_Ambient_Clover_R1_G-00,Ambient,Clover,R1,G-00,T1
177,Wooliver_ITS_1B1_Beever240927_S166,Wooliver,ITS,1B1,Beever240927,NA,S166,1,B,1,7,ITS_Ambient_Five-species mix_R1_G-00,Ambient,Five-species mix,R1,G-00,T1
189,Wooliver_ITS_1C1_Beever240927_S167,Wooliver,ITS,1C1,Beever240927,NA,S167,1,C,1,11,ITS_Ambient_No residue_R1_G-00,Ambient,No residue,R1,G-00,T1
201,Wooliver_ITS_1D1_Beever240927_S168,Wooliver,ITS,1D1,Beever240927,NA,S168,1,D,1,15,ITS_Ambient_Wheat_R1_G-00,Ambient,Wheat,R1,G-00,T1
213,Wooliver_ITS_1E1_Beever240927_S169,Wooliver,ITS,1.00E+01,Beever240927,NA,S169,1,E,1,19,ITS_Ambient_Wheat-clover mix_R1_G-00,Ambient,Wheat-clover mix,R1,G-00,T1
225,Wooliver_ITS_1F1_Beever240927_S170,Wooliver,ITS,1F1,Beever240927,NA,S170,1,F,1,23,ITS_Drought_Clover_R1_G-00,Drought,Clover,R1,G-00,T1
237,Wooliver_ITS_1G1_Beever240927_S171,Wooliver,ITS,1G1,Beever240927,NA,S171,1,G,1,27,ITS_Drought_Five-species mix_R1_G-00,Drought,Five-species mix,R1,G-00,T1
249,Wooliver_ITS_1H1_Beever240927_S172,Wooliver,ITS,1H1,Beever240927,NA,S172,1,H,1,31,ITS_Drought_No residue_R1_G-00,Drought,No residue,R1,G-00,T1
169,Wooliver_ITS_1A2_Beever240927_S173,Wooliver,ITS,1A2,Beever240927,NA,S173,1,A,2,35,ITS_Drought_Wheat_R1_G-00,Drought,Wheat,R1,G-00,T1
181,Wooliver_ITS_1B2_Beever240927_S174,Wooliver,ITS,1B2,Beever240927,NA,S174,1,B,2,39,ITS_Drought_Wheat-clover mix_R1_G-00,Drought,Wheat-clover mix,R1,G-00,T1
193,Wooliver_ITS_1C2_Beever240927_S175,Wooliver,ITS,1C2,Beever240927,NA,S175,1,C,2,43,ITS_Ambient_Clover_R2_G-00,Ambient,Clover,R2,G-00,T1
205,Wooliver_ITS_1D2_Beever240927_S176,Wooliver,ITS,1D2,Beever240927,NA,S176,1,D,2,47,ITS_Ambient_Five-species mix_R2_G-00,Ambient,Five-species mix,R2,G-00,T1
217,Wooliver_ITS_1E2_Beever240927_S177,Wooliver,ITS,1.00E+02,Beever240927,NA,S177,1,E,2,51,ITS_Ambient_No residue_R2_G-00,Ambient,No residue,R2,G-00,T1
229,Wooliver_ITS_1F2_Beever240927_S178,Wooliver,ITS,1F2,Beever240927,NA,S178,1,F,2,55,ITS_Ambient_Wheat_R2_G-00,Ambient,Wheat,R2,G-00,T1
241,Wooliver_ITS_1G2_Beever240927_S179,Wooliver,ITS,1G2,Beever240927,NA,S179,1,G,2,59,ITS_Ambient_Wheat-clover mix_R2_G-00,Ambient,Wheat-clover mix,R2,G-00,T1
253,Wooliver_ITS_1H2_Beever240927_S180,Wooliver,ITS,1H2,Beever240927,NA,S180,1,H,2,63,ITS_Drought_Clover_R2_G-00,Drought,Clover,R2,G-00,T1
170,Wooliver_ITS_1A3_Beever240927_S181,Wooliver,ITS,1A3,Beever240927,NA,S181,1,A,3,67,ITS_Drought_Five-species mix_R2_G-00,Drought,Five-species mix,R2,G-00,T1
182,Wooliver_ITS_1B3_Beever240927_S182,Wooliver,ITS,1B3,Beever240927,NA,S182,1,B,3,71,ITS_Drought_No residue_R2_G-00,Drought,No residue,R2,G-00,T1
194,Wooliver_ITS_1C3_Beever240927_S183,Wooliver,ITS,1C3,Beever240927,NA,S183,1,C,3,75,ITS_Drought_Wheat_R2_G-00,Drought,Wheat,R2,G-00,T1
206,Wooliver_ITS_1D3_Beever240927_S184,Wooliver,ITS,1D3,Beever240927,NA,S184,1,D,3,79,ITS_Drought_Wheat-clover mix_R2_G-00,Drought,Wheat-clover mix,R2,G-00,T1
218,Wooliver_ITS_1E3_Beever240927_S185,Wooliver,ITS,1.00E+03,Beever240927,NA,S185,1,E,3,83,ITS_Ambient_Clover_R3_G-00,Ambient,Clover,R3,G-00,T1
230,Wooliver_ITS_1F3_Beever240927_S186,Wooliver,ITS,1F3,Beever240927,NA,S186,1,F,3,87,ITS_Ambient_Five-species mix_R3_G-00,Ambient,Five-species mix,R3,G-00,T1
242,Wooliver_ITS_1G3_Beever240927_S187,Wooliver,ITS,1G3,Beever240927,NA,S187,1,G,3,91,ITS_Ambient_No residue_R3_G-00,Ambient,No residue,R3,G-00,T1
254,Wooliver_ITS_1H3_Beever240927_S188,Wooliver,ITS,1H3,Beever240927,NA,S188,1,H,3,95,ITS_Ambient_Wheat_R3_G-00,Ambient,Wheat,R3,G-00,T1
171,Wooliver_ITS_1A4_Beever240927_S189,Wooliver,ITS,1A4,Beever240927,NA,S189,1,A,4,99,ITS_Ambient_Wheat-clover mix_R3_G-00,Ambient,Wheat-clover mix,R3,G-00,T1
183,Wooliver_ITS_1B4_Beever240927_S190,Wooliver,ITS,1B4,Beever240927,NA,S190,1,B,4,103,ITS_Drought_Clover_R3_G-00,Drought,Clover,R3,G-00,T1
195,Wooliver_ITS_1C4_Beever240927_S191,Wooliver,ITS,1C4,Beever240927,NA,S191,1,C,4,107,ITS_Drought_Five-species mix_R3_G-00,Drought,Five-species mix,R3,G-00,T1
207,Wooliver_ITS_1D4_Beever240927_S192,Wooliver,ITS,1D4,Beever240927,NA,S192,1,D,4,111,ITS_Drought_No residue_R3_G-00,Drought,No residue,R3,G-00,T1
219,Wooliver_ITS_1E4_Beever240927_S193,Wooliver,ITS,1.00E+04,Beever240927,NA,S193,1,E,4,115,ITS_Drought_Wheat_R3_G-00,Drought,Wheat,R3,G-00,T1
231,Wooliver_ITS_1F4_Beever240927_S194,Wooliver,ITS,1F4,Beever240927,NA,S194,1,F,4,119,ITS_Drought_Wheat-clover mix_R3_G-00,Drought,Wheat-clover mix,R3,G-00,T1
243,Wooliver_ITS_1G4_Beever240927_S195,Wooliver,ITS,1G4,Beever240927,NA,S195,1,G,4,123,ITS_Ambient_Clover_R4_G-00,Ambient,Clover,R4,G-00,T1
255,Wooliver_ITS_1H4_Beever240927_S196,Wooliver,ITS,1H4,Beever240927,NA,S196,1,H,4,127,ITS_Ambient_Five-species mix_R4_G-00,Ambient,Five-species mix,R4,G-00,T1
172,Wooliver_ITS_1A5_Beever240927_S197,Wooliver,ITS,1A5,Beever240927,NA,S197,1,A,5,131,ITS_Ambient_No residue_R4_G-00,Ambient,No residue,R4,G-00,T1
184,Wooliver_ITS_1B5_Beever240927_S198,Wooliver,ITS,1B5,Beever240927,NA,S198,1,B,5,135,ITS_Ambient_Wheat_R4_G-00,Ambient,Wheat,R4,G-00,T1
196,Wooliver_ITS_1C5_Beever240927_S199,Wooliver,ITS,1C5,Beever240927,NA,S199,1,C,5,139,ITS_Ambient_Wheat-clover mix_R4_G-00,Ambient,Wheat-clover mix,R4,G-00,T1
208,Wooliver_ITS_1D5_Beever240927_S200,Wooliver,ITS,1D5,Beever240927,NA,S200,1,D,5,143,ITS_Drought_Clover_R4_G-00,Drought,Clover,R4,G-00,T1
220,Wooliver_ITS_1E5_Beever240927_S201,Wooliver,ITS,1.00E+05,Beever240927,NA,S201,1,E,5,147,ITS_Drought_Five-species mix_R4_G-00,Drought,Five-species mix,R4,G-00,T1
232,Wooliver_ITS_1F5_Beever240927_S202,Wooliver,ITS,1F5,Beever240927,NA,S202,1,F,5,151,ITS_Drought_No residue_R4_G-00,Drought,No residue,R4,G-00,T1
244,Wooliver_ITS_1G5_Beever240927_S203,Wooliver,ITS,1G5,Beever240927,NA,S203,1,G,5,155,ITS_Drought_Wheat_R4_G-00,Drought,Wheat,R4,G-00,T1
256,Wooliver_ITS_1H5_Beever240927_S204,Wooliver,ITS,1H5,Beever240927,NA,S204,1,H,5,159,ITS_Drought_Wheat-clover mix_R4_G-00,Drought,Wheat-clover mix,R4,G-00,T1
173,Wooliver_ITS_1A6_Beever240927_S205,Wooliver,ITS,1A6,Beever240927,NA,S205,1,A,6,4,ITS_Ambient_Clover_R1_G-00,Ambient,Clover,R1,G-00,T90
185,Wooliver_ITS_1B6_Beever240927_S206,Wooliver,ITS,1B6,Beever240927,NA,S206,1,B,6,8,ITS_Ambient_Five-species mix_R1_G-00,Ambient,Five-species mix,R1,G-00,T90
197,Wooliver_ITS_1C6_Beever240927_S207,Wooliver,ITS,1C6,Beever240927,NA,S207,1,C,6,12,ITS_Ambient_No residue_R1_G-00,Ambient,No residue,R1,G-00,T90
209,Wooliver_ITS_1D6_Beever240927_S208,Wooliver,ITS,1D6,Beever240927,NA,S208,1,D,6,16,ITS_Ambient_Wheat_R1_G-00,Ambient,Wheat,R1,G-00,T90
221,Wooliver_ITS_1E6_Beever240927_S209,Wooliver,ITS,1.00E+06,Beever240927,NA,S209,1,E,6,20,ITS_Ambient_Wheat-clover mix_R1_G-00,Ambient,Wheat-clover mix,R1,G-00,T90
233,Wooliver_ITS_1F6_Beever240927_S210,Wooliver,ITS,1F6,Beever240927,NA,S210,1,F,6,24,ITS_Drought_Clover_R1_G-00,Drought,Clover,R1,G-00,T90
245,Wooliver_ITS_1G6_Beever240927_S211,Wooliver,ITS,1G6,Beever240927,NA,S211,1,G,6,28,ITS_Drought_Five-species mix_R1_G-00,Drought,Five-species mix,R1,G-00,T90
257,Wooliver_ITS_1H6_Beever240927_S212,Wooliver,ITS,1H6,Beever240927,NA,S212,1,H,6,32,ITS_Drought_No residue_R1_G-00,Drought,No residue,R1,G-00,T90
174,Wooliver_ITS_1A7_Beever240927_S213,Wooliver,ITS,1A7,Beever240927,NA,S213,1,A,7,36,ITS_Drought_Wheat_R1_G-00,Drought,Wheat,R1,G-00,T90
186,Wooliver_ITS_1B7_Beever240927_S214,Wooliver,ITS,1B7,Beever240927,NA,S214,1,B,7,40,ITS_Drought_Wheat-clover mix_R1_G-00,Drought,Wheat-clover mix,R1,G-00,T90
198,Wooliver_ITS_1C7_Beever240927_S215,Wooliver,ITS,1C7,Beever240927,NA,S215,1,C,7,44,ITS_Ambient_Clover_R2_G-00,Ambient,Clover,R2,G-00,T90
210,Wooliver_ITS_1D7_Beever240927_S216,Wooliver,ITS,1D7,Beever240927,NA,S216,1,D,7,48,ITS_Ambient_Five-species mix_R2_G-00,Ambient,Five-species mix,R2,G-00,T90
222,Wooliver_ITS_1E7_Beever240927_S217,Wooliver,ITS,1.00E+07,Beever240927,NA,S217,1,E,7,52,ITS_Ambient_No residue_R2_G-00,Ambient,No residue,R2,G-00,T90
234,Wooliver_ITS_1F7_Beever240927_S218,Wooliver,ITS,1F7,Beever240927,NA,S218,1,F,7,56,ITS_Ambient_Wheat_R2_G-00,Ambient,Wheat,R2,G-00,T90
246,Wooliver_ITS_1G7_Beever240927_S219,Wooliver,ITS,1G7,Beever240927,NA,S219,1,G,7,60,ITS_Ambient_Wheat-clover mix_R2_G-00,Ambient,Wheat-clover mix,R2,G-00,T90
258,Wooliver_ITS_1H7_Beever240927_S220,Wooliver,ITS,1H7,Beever240927,NA,S220,1,H,7,64,ITS_Drought_Clover_R2_G-00,Drought,Clover,R2,G-00,T90
175,Wooliver_ITS_1A8_Beever240927_S221,Wooliver,ITS,1A8,Beever240927,NA,S221,1,A,8,68,ITS_Drought_Five-species mix_R2_G-00,Drought,Five-species mix,R2,G-00,T90
187,Wooliver_ITS_1B8_Beever240927_S222,Wooliver,ITS,1B8,Beever240927,NA,S222,1,B,8,72,ITS_Drought_No residue_R2_G-00,Drought,No residue,R2,G-00,T90
199,Wooliver_ITS_1C8_Beever240927_S223,Wooliver,ITS,1C8,Beever240927,NA,S223,1,C,8,76,ITS_Drought_Wheat_R2_G-00,Drought,Wheat,R2,G-00,T90
211,Wooliver_ITS_1D8_Beever240927_S224,Wooliver,ITS,1D8,Beever240927,NA,S224,1,D,8,80,ITS_Drought_Wheat-clover mix_R2_G-00,Drought,Wheat-clover mix,R2,G-00,T90
223,Wooliver_ITS_1E8_Beever240927_S225,Wooliver,ITS,1.00E+08,Beever240927,NA,S225,1,E,8,84,ITS_Ambient_Clover_R3_G-00,Ambient,Clover,R3,G-00,T90
235,Wooliver_ITS_1F8_Beever240927_S226,Wooliver,ITS,1F8,Beever240927,NA,S226,1,F,8,88,ITS_Ambient_Five-species mix_R3_G-00,Ambient,Five-species mix,R3,G-00,T90
247,Wooliver_ITS_1G8_Beever240927_S227,Wooliver,ITS,1G8,Beever240927,NA,S227,1,G,8,92,ITS_Ambient_No residue_R3_G-00,Ambient,No residue,R3,G-00,T90
259,Wooliver_ITS_1H8_Beever240927_S228,Wooliver,ITS,1H8,Beever240927,NA,S228,1,H,8,96,ITS_Ambient_Wheat_R3_G-00,Ambient,Wheat,R3,G-00,T90
176,Wooliver_ITS_1A9_Beever240927_S229,Wooliver,ITS,1A9,Beever240927,NA,S229,1,A,9,100,ITS_Ambient_Wheat-clover mix_R3_G-00,Ambient,Wheat-clover mix,R3,G-00,T90
188,Wooliver_ITS_1B9_Beever240927_S230,Wooliver,ITS,1B9,Beever240927,NA,S230,1,B,9,104,ITS_Drought_Clover_R3_G-00,Drought,Clover,R3,G-00,T90
200,Wooliver_ITS_1C9_Beever240927_S231,Wooliver,ITS,1C9,Beever240927,NA,S231,1,C,9,108,ITS_Drought_Five-species mix_R3_G-00,Drought,Five-species mix,R3,G-00,T90
212,Wooliver_ITS_1D9_Beever240927_S232,Wooliver,ITS,1D9,Beever240927,NA,S232,1,D,9,112,ITS_Drought_No residue_R3_G-00,Drought,No residue,R3,G-00,T90
224,Wooliver_ITS_1E9_Beever240927_S233,Wooliver,ITS,1.00E+09,Beever240927,NA,S233,1,E,9,116,ITS_Drought_Wheat_R3_G-00,Drought,Wheat,R3,G-00,T90
236,Wooliver_ITS_1F9_Beever240927_S234,Wooliver,ITS,1F9,Beever240927,NA,S234,1,F,9,120,ITS_Drought_Wheat-clover mix_R3_G-00,Drought,Wheat-clover mix,R3,G-00,T90
248,Wooliver_ITS_1G9_Beever240927_S235,Wooliver,ITS,1G9,Beever240927,NA,S235,1,G,9,124,ITS_Ambient_Clover_R4_G-00,Ambient,Clover,R4,G-00,T90
260,Wooliver_ITS_1H9_Beever240927_S236,Wooliver,ITS,1H9,Beever240927,NA,S236,1,H,9,128,ITS_Ambient_Five-species mix_R4_G-00,Ambient,Five-species mix,R4,G-00,T90
166,Wooliver_ITS_1A10_Beever240927_S237,Wooliver,ITS,1A10,Beever240927,NA,S237,1,A,10,132,ITS_Ambient_No residue_R4_G-00,Ambient,No residue,R4,G-00,T90
178,Wooliver_ITS_1B10_Beever240927_S238,Wooliver,ITS,1B10,Beever240927,NA,S238,1,B,10,136,ITS_Ambient_Wheat_R4_G-00,Ambient,Wheat,R4,G-00,T90
190,Wooliver_ITS_1C10_Beever240927_S239,Wooliver,ITS,1C10,Beever240927,NA,S239,1,C,10,140,ITS_Ambient_Wheat-clover mix_R4_G-00,Ambient,Wheat-clover mix,R4,G-00,T90
202,Wooliver_ITS_1D10_Beever240927_S240,Wooliver,ITS,1D10,Beever240927,NA,S240,1,D,10,144,ITS_Drought_Clover_R4_G-00,Drought,Clover,R4,G-00,T90
214,Wooliver_ITS_1E10_Beever240927_S241,Wooliver,ITS,1.00E+10,Beever240927,NA,S241,1,E,10,148,ITS_Drought_Five-species mix_R4_G-00,Drought,Five-species mix,R4,G-00,T90
226,Wooliver_ITS_1F10_Beever240927_S242,Wooliver,ITS,1F10,Beever240927,NA,S242,1,F,10,152,ITS_Drought_No residue_R4_G-00,Drought,No residue,R4,G-00,T90
238,Wooliver_ITS_1G10_Beever240927_S243,Wooliver,ITS,1G10,Beever240927,NA,S243,1,G,10,156,ITS_Drought_Wheat_R4_G-00,Drought,Wheat,R4,G-00,T90
250,Wooliver_ITS_1H10_Beever240927_S244,Wooliver,ITS,1H10,Beever240927,NA,S244,1,H,10,160,ITS_Drought_Wheat-clover mix_R4_G-00,Drought,Wheat-clover mix,R4,G-00,T90
167,Wooliver_ITS_1A11_Beever240927_S245,Wooliver,ITS,1A11,Beever240927,NA,S245,1,A,11,1,ITS_Ambient_Clover_R1_G-50,Ambient,Clover,R1,G-50,T1
179,Wooliver_ITS_1B11_Beever240927_S246,Wooliver,ITS,1B11,Beever240927,NA,S246,1,B,11,5,ITS_Ambient_Five-species mix_R1_G-50,Ambient,Five-species mix,R1,G-50,T1
191,Wooliver_ITS_1C11_Beever240927_S247,Wooliver,ITS,1C11,Beever240927,NA,S247,1,C,11,9,ITS_Ambient_No residue_R1_G-50,Ambient,No residue,R1,G-50,T1
203,Wooliver_ITS_1D11_Beever240927_S248,Wooliver,ITS,1D11,Beever240927,NA,S248,1,D,11,13,ITS_Ambient_Wheat_R1_G-50,Ambient,Wheat,R1,G-50,T1
215,Wooliver_ITS_1E11_Beever240927_S249,Wooliver,ITS,1.00E+11,Beever240927,NA,S249,1,E,11,17,ITS_Ambient_Wheat-clover mix_R1_G-50,Ambient,Wheat-clover mix,R1,G-50,T1
227,Wooliver_ITS_1F11_Beever240927_S250,Wooliver,ITS,1F11,Beever240927,NA,S250,1,F,11,21,ITS_Drought_Clover_R1_G-50,Drought,Clover,R1,G-50,T1
239,Wooliver_ITS_1G11_Beever240927_S251,Wooliver,ITS,1G11,Beever240927,NA,S251,1,G,11,25,ITS_Drought_Five-species mix_R1_G-50,Drought,Five-species mix,R1,G-50,T1
251,Wooliver_ITS_1H11_Beever240927_S252,Wooliver,ITS,1H11,Beever240927,NA,S252,1,H,11,29,ITS_Drought_No residue_R1_G-50,Drought,No residue,R1,G-50,T1
168,Wooliver_ITS_1A12_Beever240927_S253,Wooliver,ITS,1A12,Beever240927,NA,S253,1,A,12,33,ITS_Drought_Wheat_R1_G-50,Drought,Wheat,R1,G-50,T1
180,Wooliver_ITS_1B12_Beever240927_S254,Wooliver,ITS,1B12,Beever240927,NA,S254,1,B,12,37,ITS_Drought_Wheat-clover mix_R1_G-50,Drought,Wheat-clover mix,R1,G-50,T1
192,Wooliver_ITS_1C12_Beever240927_S255,Wooliver,ITS,1C12,Beever240927,NA,S255,1,C,12,41,ITS_Ambient_Clover_R2_G-50,Ambient,Clover,R2,G-50,T1
204,Wooliver_ITS_1D12_Beever240927_S256,Wooliver,ITS,1D12,Beever240927,NA,S256,1,D,12,45,ITS_Ambient_Five-species mix_R2_G-50,Ambient,Five-species mix,R2,G-50,T1
216,Wooliver_ITS_1E12_Beever240927_S257,Wooliver,ITS,1.00E+12,Beever240927,NA,S257,1,E,12,49,ITS_Ambient_No residue_R2_G-50,Ambient,No residue,R2,G-50,T1
228,Wooliver_ITS_1F12_Beever240927_S258,Wooliver,ITS,1F12,Beever240927,NA,S258,1,F,12,53,ITS_Ambient_Wheat_R2_G-50,Ambient,Wheat,R2,G-50,T1
240,Wooliver_ITS_1G12_Beever240927_S259,Wooliver,ITS,1G12,Beever240927,NA,S259,1,G,12,57,ITS_Ambient_Wheat-clover mix_R2_G-50,Ambient,Wheat-clover mix,R2,G-50,T1
252,Wooliver_ITS_1H12_Beever240927_S260,Wooliver,ITS,1H12,Beever240927,NA,S260,1,H,12,61,ITS_Drought_Clover_R2_G-50,Drought,Clover,R2,G-50,T1
261,Wooliver_ITS_2A1_Beever240927_S261,Wooliver,ITS,2A1,Beever240927,NA,S261,2,A,1,65,ITS_Drought_Five-species mix_R2_G-50,Drought,Five-species mix,R2,G-50,T1
270,Wooliver_ITS_2B1_Beever240927_S262,Wooliver,ITS,2B1,Beever240927,NA,S262,2,B,1,69,ITS_Drought_No residue_R2_G-50,Drought,No residue,R2,G-50,T1
279,Wooliver_ITS_2C1_Beever240927_S263,Wooliver,ITS,2C1,Beever240927,NA,S263,2,C,1,73,ITS_Drought_Wheat_R2_G-50,Drought,Wheat,R2,G-50,T1
288,Wooliver_ITS_2D1_Beever240927_S264,Wooliver,ITS,2D1,Beever240927,NA,S264,2,D,1,77,ITS_Drought_Wheat-clover mix_R2_G-50,Drought,Wheat-clover mix,R2,G-50,T1
297,Wooliver_ITS_2E1_Beever240927_S265,Wooliver,ITS,2.00E+01,Beever240927,NA,S265,2,E,1,81,ITS_Ambient_Clover_R3_G-50,Ambient,Clover,R3,G-50,T1
305,Wooliver_ITS_2F1_Beever240927_S266,Wooliver,ITS,2F1,Beever240927,NA,S266,2,F,1,85,ITS_Ambient_Five-species mix_R3_G-50,Ambient,Five-species mix,R3,G-50,T1
313,Wooliver_ITS_2G1_Beever240927_S267,Wooliver,ITS,2G1,Beever240927,NA,S267,2,G,1,89,ITS_Ambient_No residue_R3_G-50,Ambient,No residue,R3,G-50,T1
262,Wooliver_ITS_2A2_Beever240927_S269,Wooliver,ITS,2A2,Beever240927,NA,S269,2,A,2,97,ITS_Ambient_Wheat-clover mix_R3_G-50,Ambient,Wheat-clover mix,R3,G-50,T1
271,Wooliver_ITS_2B2_Beever240927_S270,Wooliver,ITS,2B2,Beever240927,NA,S270,2,B,2,101,ITS_Drought_Clover_R3_G-50,Drought,Clover,R3,G-50,T1
280,Wooliver_ITS_2C2_Beever240927_S271,Wooliver,ITS,2C2,Beever240927,NA,S271,2,C,2,105,ITS_Drought_Five-species mix_R3_G-50,Drought,Five-species mix,R3,G-50,T1
289,Wooliver_ITS_2D2_Beever240927_S272,Wooliver,ITS,2D2,Beever240927,NA,S272,2,D,2,109,ITS_Drought_No residue_R3_G-50,Drought,No residue,R3,G-50,T1
298,Wooliver_ITS_2E2_Beever240927_S273,Wooliver,ITS,2.00E+02,Beever240927,NA,S273,2,E,2,113,ITS_Drought_Wheat_R3_G-50,Drought,Wheat,R3,G-50,T1
306,Wooliver_ITS_2F2_Beever240927_S274,Wooliver,ITS,2F2,Beever240927,NA,S274,2,F,2,117,ITS_Drought_Wheat-clover mix_R3_G-50,Drought,Wheat-clover mix,R3,G-50,T1
314,Wooliver_ITS_2G2_Beever240927_S275,Wooliver,ITS,2G2,Beever240927,NA,S275,2,G,2,121,ITS_Ambient_Clover_R4_G-50,Ambient,Clover,R4,G-50,T1
322,Wooliver_ITS_2H2_Beever240927_S276,Wooliver,ITS,2H2,Beever240927,NA,S276,2,H,2,125,ITS_Ambient_Five-species mix_R4_G-50,Ambient,Five-species mix,R4,G-50,T1
263,Wooliver_ITS_2A3_Beever240927_S277,Wooliver,ITS,2A3,Beever240927,NA,S277,2,A,3,129,ITS_Ambient_No residue_R4_G-50,Ambient,No residue,R4,G-50,T1
272,Wooliver_ITS_2B3_Beever240927_S278,Wooliver,ITS,2B3,Beever240927,NA,S278,2,B,3,133,ITS_Ambient_Wheat_R4_G-50,Ambient,Wheat,R4,G-50,T1
281,Wooliver_ITS_2C3_Beever240927_S279,Wooliver,ITS,2C3,Beever240927,NA,S279,2,C,3,137,ITS_Ambient_Wheat-clover mix_R4_G-50,Ambient,Wheat-clover mix,R4,G-50,T1
