"","Var1","Freq","percentage"
"765","Marihabitans",1,0
"766","Marimicrobium",57,0.01
"767","Marinagarivorans",5,0
"768","Marinibaculum",368,0.05
"769","Mariniblastus",11,0
"770","Marinicrinis",237,0.03
"771","Marininema",7,0
"772","Marinithermus",3,0
"773","Marinoscillum",1,0
"774","Marinosulfonomonas",1,0
"775","Mariprofundus",1,0
"776","Marisediminicola",12,0
"777","Marispirillum",16,0
"778","Marispirochaeta",4,0
"779","Maritimimonas",1,0
"780","Marivibrio",3,0
"781","Marmoricola",1994,0.25
"782","Marvinbryantia",2,0
"783","Massilia",680,0.08
"784","Massilibacterium",13,0
"785","Massiliimalia",9,0
"786","Mechercharimyces",1,0
"787","Mediterraneibacter",9,0
"788","Melioribacter",136,0.02
"789","Melittangium",194,0.02
"790","Membranicola",4,0
"791","Meniscus",1,0
"792","Mesobacillus",116,0.01
"793","Mesorhizobium",985,0.12
"794","Metabacillus",397,0.05
"795","Metallibacterium",37,0
"796","Metalysinibacillus",8,0
"797","Metaplanococcus",1,0
"798","Metasolibacillus",158,0.02
"799","Methanomassiliicoccus",5,0
"800","Methanopyrus",1,0
"801","Methylibium",132,0.02
"802","Methylobacillus",38,0
"803","Methylobacterium",432,0.05
"804","Methylobrevis",5,0
"805","Methylocaldum",3,0
"806","Methylocapsa",131,0.02
"807","Methyloceanibacter",256,0.03
"808","Methylocella",52,0.01
"809","Methylococcus",4,0
"810","Methylocystis",132,0.02
"811","Methyloferula",14,0
"812","Methyloglobulus",1,0
"813","Methylohalomonas",10,0
"814","Methyloligella",310,0.04
"815","Methylomagnum",6,0
"816","Methylomusa",7,0
"817","Methylonatrum",3,0
"818","Methyloparacoccus",3,0
"819","Methylophilus",100,0.01
"820","Methylopila",7,0
"821","Methyloprofundus",2,0
"822","Methylorosula",2,0
"823","Methylorubrum",9,0
"824","Methylosinus",86,0.01
"825","Methylosoma",5,0
"826","Methylotenera",189,0.02
"827","Methyloterrigena",2,0
"828","Methyloversatilis",108,0.01
"829","Methylovirgula",19,0
"830","Methylovorus",59,0.01
"831","Microbacterium",719,0.09
"832","Microbaculum",37,0
"833","Microbispora",415,0.05
"834","Microlunatus",680,0.08
"835","Micromonospora",606,0.08
"836","Micropepsis",555,0.07
"837","Micropruina",61,0.01
"838","Microscilla",1,0
"839","Microterricola",57,0.01
"840","Microtetraspora",23,0
"841","Microvirga",2514,0.31
